date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:36	277/277	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2023%20May%202022%2014:11:54%20GMT	http://ogs-seminar.narod.ru/robots.txt		(from )
17:14:37	12534/12534	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:11:55%20GMT	http://ogs-seminar.narod.ru/	ogs-seminar.narod.ru/index.html	(from )
17:14:39	40053/40053	---M--	200	added ('OK')	application/javascript	etag:%22628271ef-9c75%22	http://ogs-seminar.narod.ru/YWtf/Cpq1bBV/2GPnx?nbTiwOv6KmhZ5mR%3BJgW9Aqie%3B4XYqKlSYf5O%21BLvNLVJAHqXlZT21bPx8avTQ%5EUbUwHxuyxKKF6lyx7H9Uoo	ogs-seminar.narod.ru/YWtf/Cpq1bBV/2GPnxbde9	(from http://ogs-seminar.narod.ru/)
17:14:43	14841/14841	---M--	200	added ('OK')	image/gif	etag:%22515cf8c6-39f9%22	http://ogs-seminar.narod.ru/img/title.gif	ogs-seminar.narod.ru/img/title.gif	(from http://ogs-seminar.narod.ru/)
17:14:43	12535/12535	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:11:58%20GMT	http://ogs-seminar.narod.ru/index.htm	ogs-seminar.narod.ru/index-2.html	(from http://ogs-seminar.narod.ru/)
17:14:43	86927/86927	---MCZ	200	added ('OK')	text/javascript	etag:W/%225a8ace13-1538f%22	http://ogs-seminar.narod.ru/.s/src/jquery-3.3.1.min.js	ogs-seminar.narod.ru/.s/src/jquery-3.3.1.min.js	(from http://ogs-seminar.narod.ru/)
17:14:43	42524/42524	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb	ogs-seminar.narod.ru/gb.html	(from http://ogs-seminar.narod.ru/)
17:14:45	12621/12621	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:01%20GMT	http://ogs-seminar.narod.ru/psem.htm	ogs-seminar.narod.ru/psem.html	(from http://ogs-seminar.narod.ru/)
17:14:45	39368/39368	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:02%20GMT	http://ogs-seminar.narod.ru/materials.htm	ogs-seminar.narod.ru/materials.html	(from http://ogs-seminar.narod.ru/)
17:14:45	13879/13879	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:03%20GMT	http://ogs-seminar.narod.ru/people.htm	ogs-seminar.narod.ru/people.html	(from http://ogs-seminar.narod.ru/)
17:14:49	17712/17712	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:05%20GMT	http://ogs-seminar.narod.ru/psem_08_09.htm	ogs-seminar.narod.ru/psem_08_09.html	(from http://ogs-seminar.narod.ru/)
17:14:50	27212/27212	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:06%20GMT	http://ogs-seminar.narod.ru/psem_09_10.htm	ogs-seminar.narod.ru/psem_09_10.html	(from http://ogs-seminar.narod.ru/)
17:14:51	22967/22967	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:07%20GMT	http://ogs-seminar.narod.ru/psem_10_11.htm	ogs-seminar.narod.ru/psem_10_11.html	(from http://ogs-seminar.narod.ru/)
17:14:52	58487/58487	---M--	200	added ('OK')	image/jpeg	etag:%22515cf8c6-e477%22	http://ogs-seminar.narod.ru/gz.JPG	ogs-seminar.narod.ru/gz.jpg	(from http://ogs-seminar.narod.ru/)
17:14:52	21778/21778	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:08%20GMT	http://ogs-seminar.narod.ru/psem_11_12.htm	ogs-seminar.narod.ru/psem_11_12.html	(from http://ogs-seminar.narod.ru/)
17:14:52	17471/17471	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:09%20GMT	http://ogs-seminar.narod.ru/psem_12_13.htm	ogs-seminar.narod.ru/psem_12_13.html	(from http://ogs-seminar.narod.ru/)
17:14:57	40053/40053	---M--	200	added ('OK')	application/javascript	etag:%22628271ef-9c75%22	http://ogs-seminar.narod.ru/vCyJN/bheIm?YwnxtLeSO%21XEbFHy2g4HpE7yr1OWKjjz%5EvpNq03zVDR%5EWj1Tm5Neb%21FWa%3BVE%3BNDHMTWEgc%5EOdrDtE0s%3BmS0o	ogs-seminar.narod.ru/vCyJN/bheImdfdf	(from http://ogs-seminar.narod.ru/index.htm)
17:14:57	24327/24327	---MCZ	200	added ('OK')	text/css	etag:W/%2262553535-5f07%22	http://ogs-seminar.narod.ru/.s/src/base.min.css	ogs-seminar.narod.ru/.s/src/base.min.css	(from http://ogs-seminar.narod.ru/gb)
17:14:57	5679/5679	---MCZ	200	added ('OK')	text/javascript	etag:W/%22515cf8ca-162f%22	http://ogs-seminar.narod.ru/jsmath/easy/load.js	ogs-seminar.narod.ru/jsmath/easy/load.js	(from http://ogs-seminar.narod.ru/gb)
